assignment_id,user_id
639944955,111715984
639944956,111716007
639944957,111716202
639944958,111716315
639944959,111716923
639944960,111721959
639944962,111722404
639944968,111724034
639944969,111725130
639944970,111725297
639944971,111725428
639944972,111731609
639944974,111733987
639944978,111768725
639944979,111769766
639944983,111771794
639944984,111772328
639944987,111802201
639944988,111803342
639944989,111803626
639944990,111805017
639944996,111855314
639944997,111856692
639945000,111879618
639945004,111913073
639945009,111914617
639945013,111916876
639945014,111919565
639945015,111920699
639945017,111920988
639945018,111921345
639945019,111921412
639945023,111921718
639945024,111921898
639945027,111922533
639945028,111922613
639945030,111922905
639945034,111924709
639945040,111933163
639945042,111933901
639945045,111941744
639945047,111950799
639945050,111977883
639945056,112015706
639945059,112015752
639945060,112015755
639945062,112016202
639945063,112016203
639945064,112016417
639945068,112050564
639945072,112054141
639945074,112086881
639945076,112087214
639945079,112122409
639945080,112136666
639945082,112160780
639945083,112161470
639945085,112182583
639945091,112297163
639945092,112300154
639945094,112306966
639945095,112307622
639945098,112350072
639945100,112354182
639945101,112354430
639945107,112410223
639945108,112440380
639945111,112475169
639945113,112486206
639945120,112520711
639945126,112732882
639945130,113183960
639945131,113207735
639945134,113795352
639945135,113933949
650316108,114706969
649101137,114717539
653127175,114831303
639945216,111715892
639945217,111715984
639945218,111716007
639945219,111716202
639945220,111721959
639945221,111722404
639945222,111722922
639945226,111724260
639945227,111725130
639945228,111725297
639945229,111725428
639945230,111731609
639945233,111758376
639945234,111760693
639945235,111769766
639945236,111771482
639945238,111805017
639945240,111830169
639945242,111842250
639945244,111856692
639945246,111879618
639945249,111914513
639945250,111914550
639945251,111914617
639945255,111914695
639945256,111919565
639945258,111920988
639945259,111921345
639945263,111921898
639945265,111922268
639945266,111922689
639945268,111923975
639945269,111924108
639945271,111924735
639945277,111931899
639945279,111933163
639945281,111933901
639945283,111941744
639945285,111950121
639945286,111950799
639945289,112015642
639945290,112015706
639945294,112015755
639945296,112016202
639945297,112016203
639945298,112016464
639945301,112025213
639945302,112025984
639945305,112052513
639945306,112085756
639945308,112087214
639945310,112088018
639945311,112098859
639945312,112122409
639945313,112136666
639945314,112159508
639945316,112160780
639945318,112166358
639945319,112172793
639945320,112216499
639945324,112256024
639945326,112297163
639945327,112306966
639945331,112350072
639945332,112354152
639945337,112440380
639945341,112520711
639945347,113183960
639945349,113795352
639945350,113933949
639945509,111722404
639945511,111725428
639945512,111769766
639945513,111803342
639945516,111871337
639945517,111879618
639945518,111914564
639945520,111916876
639945523,111921898
639945528,112016202
639945534,112160780
639945537,112297915
639945539,112308531
639945546,113207735
639945548,113748038
649101138,114717539
