submission_id,user_id,assignment_id
593636370,111715984,44604807
593636611,111716007,44604807
593639464,111716202,44604807
593640958,111716315,44604807
593652969,111716923,44604807
593744347,111721959,44604807
593758154,111722404,44604807
593785861,111723799,44604807
593818149,111725130,44604807
593821321,111725297,44604807
593825601,111725428,44604807
593921796,111731609,44604807
593970985,111733987,44604807
593980806,111734570,44604807
594462516,111761501,44604807
594592576,111768725,44604807
594615885,111769766,44604807
594656715,111771794,44604807
594665284,111772328,44604807
595203222,111802201,44604807
595227238,111803342,44604807
595230933,111803626,44604807
595257177,111805017,44604807
595627968,111829821,44604807
595635095,111830222,44604807
595825480,111842548,44604807
596048096,111855314,44604807
596073071,111856692,44604807
596426879,111879618,44604807
596758998,111912666,44604807
596767236,111913073,44604807
596794692,111914617,44604807
596799191,111914730,44604807
596851204,111916876,44604807
596918806,111919565,44604807
596940165,111920699,44604807
596953077,111921345,44604807
596960180,111921668,44604807
596961840,111921712,44604807
596961953,111921718,44604807
596972265,111921898,44604807
596973825,111921963,44604807
596992187,111922533,44604807
596995385,111922613,44604807
597003391,111922862,44604807
597004820,111922905,44604807
597032733,111924709,44604807
597207076,111931785,44604807
597224874,111932139,44604807
597252146,111933163,44604807
597262845,111933901,44604807
597422224,111940628,44604807
597471660,111941744,44604807
597683082,111950799,44604807
597759828,111953615,44604807
598196485,111977883,44604807
599172688,112015706,44604807
599172800,112015727,44604807
599172998,112015752,44604807
599173050,112015755,44604807
599184754,112016202,44604807
599184774,112016203,44604807
599187256,112016417,44604807
599701421,112050564,44604807
599715131,112051081,44604807
599763735,112053187,44604807
599781688,112054141,44604807
600393703,112086881,44604807
600397697,112087214,44604807
601042182,112122409,44604807
601505897,112136666,44604807
601839058,112160780,44604807
601855423,112161470,44604807
602061694,112182583,44604807
603854661,112300154,44604807
603977254,112306962,44604807
603977350,112306966,44604807
603994613,112307622,44604807
604659024,112343934,44604807
604839567,112350072,44604807
605053541,112354182,44604807
605864356,112354430,44604807
606359582,112408562,44604807
606216374,112410223,44604807
606403214,112440380,44604807
606406382,112440549,44604807
606845955,112475169,44604807
606999758,112486206,44604807
606994851,112486918,44604807
607134601,112492020,44604807
610632578,112732882,44604807
621307483,113183960,44604807
634977517,113933949,44604807
653127171,114831303,44604807
593634504,111715892,44946565
593636371,111715984,44946565
593636612,111716007,44946565
593639465,111716202,44946565
593744348,111721959,44946565
593758155,111722404,44946565
593766664,111722922,44946565
593772947,111723393,44946565
593799010,111724260,44946565
593818150,111725130,44946565
593821322,111725297,44946565
593825602,111725428,44946565
593921797,111731609,44946565
594366661,111758376,44946565
594446674,111760693,44946565
594615886,111769766,44946565
594652271,111771482,44946565
595257178,111805017,44946565
595634523,111830169,44946565
595816671,111842250,44946565
595825481,111842548,44946565
596073072,111856692,44946565
596426880,111879618,44946565
596758999,111912666,44946565
596792807,111914513,44946565
596793980,111914550,44946565
596794693,111914617,44946565
596797800,111914695,44946565
596918807,111919565,44946565
596923803,111919835,44946565
596953078,111921345,44946565
596960181,111921668,44946565
596961841,111921712,44946565
596972266,111921898,44946565
596987002,111922268,44946565
596999507,111922689,44946565
597024181,111923975,44946565
597025125,111924108,44946565
597032945,111924735,44946565
597219768,111931899,44946565
597224875,111932139,44946565
597252147,111933163,44946565
597262846,111933901,44946565
597471661,111941744,44946565
597671690,111950121,44946565
597683083,111950799,44946565
599172270,112015642,44946565
599172689,112015706,44946565
599173051,112015755,44946565
599184755,112016202,44946565
599184775,112016203,44946565
599187683,112016464,44946565
599333100,112025213,44946565
599351306,112025984,44946565
599715132,112051081,44946565
599752578,112052513,44946565
600371478,112085756,44946565
600397698,112087214,44946565
600405115,112088018,44946565
600720076,112098859,44946565
601042183,112122409,44946565
601505898,112136666,44946565
601818502,112159508,44946565
601839059,112160780,44946565
601883187,112164092,44946565
601907322,112166358,44946565
601962829,112172793,44946565
602454126,112216499,44946565
603023349,112256024,44946565
603977351,112306966,44946565
604659025,112343934,44946565
605053508,112354152,44946565
606359583,112408562,44946565
606403215,112440380,44946565
607134602,112492020,44946565
621307484,113183960,44946565
634977518,113933949,44946565
593758156,111722404,44946566
593785863,111723799,44946566
593825603,111725428,44946566
594615887,111769766,44946566
595227240,111803342,44946566
595627970,111829821,44946566
596281468,111871337,44946566
596426881,111879618,44946566
596794231,111914564,44946566
596851206,111916876,44946566
596972267,111921898,44946566
599184756,112016202,44946566
601631873,112147132,44946566
601839060,112160780,44946566
603818404,112297915,44946566
603977256,112306962,44946566
604016476,112308531,44946566
632300246,113748038,44946566
