user_id,attachment_url,filename
596961840,https://canvas.instructure.com/files/261523795/download?download_frd=1&verifier=KvgdcjUfeDt5KbJUgcoVkoNCj0Z4ZInppvplUoI4,596961840.docx
596961953,https://canvas.instructure.com/files/260458125/download?download_frd=1&verifier=iRN7LbJ3LGA6Hup6jFi3lUo3CQ3mtrFEQ6XAK3D6,596961953.docx
596972265,https://canvas.instructure.com/files/260166925/download?download_frd=1&verifier=ScMEz1nns8zllqGArFdatNoZVy8rUxPXP7FZNFj2,596972265.pdf
596973825,https://canvas.instructure.com/files/260539627/download?download_frd=1&verifier=G7W0rJYIo5etEE5x6lTUCgV43xRpEIp687pziLHm,596973825.docx
596992187,https://canvas.instructure.com/files/259469005/download?download_frd=1&verifier=SptcHJtwWZJU4obYF9ieQh4PMaYnCvqY1XVz7cnP,596992187.docx
596995385,https://canvas.instructure.com/files/260066664/download?download_frd=1&verifier=ybkOwjIJtaEOvWdc2kQjMKIr592KQaAH7rRvvu6b,596995385.pdf
597004820,https://canvas.instructure.com/files/260352793/download?download_frd=1&verifier=4hxQeqHJjzBFMm2tKco373pYrLctOfgstcm9ZDID,597004820.PDF
597032733,https://canvas.instructure.com/files/259923197/download?download_frd=1&verifier=nQ5JfHNaPiHctTtBt9VEm1xvLMDuDpt770ozg7QC,597032733.docx
597207076,https://canvas.instructure.com/files/259263926/download?download_frd=1&verifier=EScm73P3Ci5Jm9EyssPyNohD1Vtdb3nwDisnQ07b,597207076.pdf
597224874,https://canvas.instructure.com/files/260330154/download?download_frd=1&verifier=nsNQc5HibxBsL5meAwEVylV8WrXVdvlqytYC6sCq,597224874.pdf
597252146,https://canvas.instructure.com/files/260449717/download?download_frd=1&verifier=AhCnPhd74NFyrfQewPS8hWPxOA834PMDYtNGzIqq,597252146.docx
597262845,https://canvas.instructure.com/files/260186560/download?download_frd=1&verifier=bXSmUHl1mtgPc2kvVupc3x3BxVvPTygOIAqg3X81,597262845.pdf
597422224,https://canvas.instructure.com/files/260613257/download?download_frd=1&verifier=VoTjpPhgxsc81uoXZ6jtsdHTdQMjq4FJYTJvYvDU,597422224.docx
597471660,https://canvas.instructure.com/files/260440758/download?download_frd=1&verifier=0skYTusWEzVZzsheRotESml2GAIk0XHnHOPDFSzB,597471660.docx
597683082,https://canvas.instructure.com/files/260438955/download?download_frd=1&verifier=OY8jFZnjVGgfCvOSre8AsNPMlGagelnRr2eYaDQY,597683082.pdf
597759828,https://canvas.instructure.com/files/260464834/download?download_frd=1&verifier=1x7s3pxR8QQYQq53ra42vxggBM9OFxjv0zslmRD7,597759828.docx
598196485,https://canvas.instructure.com/files/260416774/download?download_frd=1&verifier=zBHzuM0TEkmUISQSKK1A8Lde5vvykDNgNjqNf0Wb,598196485.docx
599172688,https://canvas.instructure.com/files/260413986/download?download_frd=1&verifier=16HjgyfEsSjNlbud18JdLWjjxF8TtowQcNHR6udu,599172688.pdf
599172800,https://canvas.instructure.com/files/260591557/download?download_frd=1&verifier=4riDJxh4hEUHiANVPP1h3KAqVnpNGb9r3yVgZwdH,599172800.docx
599172998,https://canvas.instructure.com/files/260534708/download?download_frd=1&verifier=E147DtuIB7jqkwPyz7DJRtWLuHxcq7v1M4UApyGY,599172998.pdf
599173050,https://canvas.instructure.com/files/260433025/download?download_frd=1&verifier=RQF7D9bDvQ22TnB2l40ZQes50yaihH77vAc7aCM2,599173050.pdf
599184754,https://canvas.instructure.com/files/259637251/download?download_frd=1&verifier=tmo1nOhnrca3KW59ZxdaBQN21eTxZEPuZZsTk2aX,599184754.docx
599184774,https://canvas.instructure.com/files/260281240/download?download_frd=1&verifier=BABiFtGv21L729ZznAmvFXTcFrDm3A60fYJx3PwH,599184774.docx
599187256,https://canvas.instructure.com/files/260520852/download?download_frd=1&verifier=OIZBEegZERFttn3x8gfj92q2r3IcqNeEqN1O3kLD,599187256.pdf
599701421,https://canvas.instructure.com/files/260198734/download?download_frd=1&verifier=JGy86F5PYr9Mg5AwFjnEeBuYAothYn2rHcXRqASQ,599701421.docx
599715131,https://canvas.instructure.com/files/260582675/download?download_frd=1&verifier=6AFbFID6ZrE1VjTAWdmEv22q1mwlUqbVrHFAc8TE,599715131.docx
599763735,https://canvas.instructure.com/files/260453099/download?download_frd=1&verifier=O7ANd28KrW9Myd4fKSY0sKPH8yveqOxnJKnIjFE4,599763735.pdf
599781688,https://canvas.instructure.com/files/263854863/download?download_frd=1&verifier=ZHIKtpSRAaYtqJsB8C2roV9faCCWiR3fK67PfHQA,599781688.pdf
600393703,https://canvas.instructure.com/files/260063854/download?download_frd=1&verifier=I9QYnDxJfpzGE2ysxHYKisDEf61HAT6mqU8ODfHg,600393703.docx
600397697,https://canvas.instructure.com/files/260430621/download?download_frd=1&verifier=Zxuc4uoKH75fZIDCQNeVn6JqxC9vao02CnCBAxUF,600397697.docx
601042182,https://canvas.instructure.com/files/256006311/download?download_frd=1&verifier=LR5tj7a1OO0pa6yFciRx2Z0NuxWrmwdgi9nkSsDv,601042182.pdf
